Country/Territory,IMF,IMF,World Bank,World Bank,United Nations,United Nations
Ghana,"75,244",2024,"76,370",2023,"73,766",2022
Sri Lanka,"74,846",2022,"84,357",2023,"76,187",2022
DR Congo,"73,761",2024,"66,383",2023,"62,551",2022
Slovenia,"72,101",2024,"68,217",2023,"59,981",2022
Belarus,"69,048",2024,"71,857",2023,"72,873",2022
Myanmar,"68,006",2024,"64,815",2023,"65,211",2022
Uganda,"56,310",2024,"49,273",2023,"48,243",2022
Tunisia,"54,708",2024,"48,530",2023,"46,181",2022
Macau,"54,677",2024,"47,062",2023,"24,042",2022
Jordan,"53,570",2024,"50,814",2023,"47,452",2022
Cameroon,"53,205",2024,"47,946",2023,"44,341",2022
Bolivia,"49,334",2024,"45,850",2023,"44,008",2022
Libya,"48,221",2024,"50,492",2023,"40,537",2022
Bahrain,"46,790",2024,"43,205",2023,"44,382",2022
Paraguay,"45,817",2024,"42,956",2023,"41,722",2022
Latvia,"45,466",2024,"43,627",2023,"40,876",2022
Cambodia,"45,150",2024,"31,773",2023,"29,504",2022
Nepal,"44,179",2024,"40,908",2023,"39,406",2022
Estonia,"43,486",2024,"40,745",2023,"38,049",2022
Honduras,"37,355",2024,"34,401",2023,"31,717",2022
Senegal,"35,450",2024,"31,014",2023,"27,775",2022
El Salvador,"35,333",2024,"34,016",2023,"32,488",2022
Zimbabwe,"34,405",2024,"26,538",2023,"26,418",2022
Cyprus,"34,221",2024,"32,230",2023,"29,210",2022
Iceland,"33,338",2024,"31,020",2023,"28,064",2022
Georgia,"32,865",2024,"30,536",2023,"24,605",2022
Papua New Guinea,"31,716",2024,"30,933",2022,"31,609",2022
Zambia,"29,872",2024,"28,163",2023,"29,136",2022
Bosnia and Herzegovina,"29,078",2024,"27,055",2023,"24,473",2022
Trinidad and Tobago,"28,365",2024,"28,140",2023,"30,053",2022
Sudan,"26,865",2024,"109,327",2023,"36,729",2022
Guinea,"25,447",2024,"23,612",2023,"20,846",2022
Albania,"25,431",2024,"22,978",2023,"18,916",2022
Armenia,"25,408",2024,"24,212",2023,"19,513",2022
Haiti,"24,046",2024,"19,851",2023,"18,751",2022
Mozambique,"22,975",2024,"20,625",2023,"18,406",2022
Malta,"22,737",2024,"20,957",2023,"18,100",2022
Mongolia,"21,943",2024,"19,872",2023,"17,146",2022
Burkina Faso,"21,902",2024,"20,325",2023,"19,176",2022
Lebanon,"21,780",2022,"17,937",2023,"39,303",2022
Mali,"21,662",2024,"20,905",2023,"18,827",2022
Botswana,"21,418",2024,"19,396",2023,"20,352",2022
Benin,"21,371",2024,"19,673",2023,"17,396",2022
Guyana,"21,178",2024,"16,786",2023,"14,718",2022
Gabon,"21,013",2024,"20,516",2023,"20,132",2022
Jamaica,"20,098",2024,"19,423",2023,"17,097",2022
Nicaragua,"18,829",2024,"17,829",2023,"15,671",2022
Niger,"18,816",2024,"16,819",2023,"15,414",2022
Chad,"18,697",2024,"13,149",2023,"16,799",2022
Palestine,"18,602",2023,"17,396",2023,"19,111",2022
Moldova,"18,356",2024,"16,539",2023,"14,510",2022
Yemen,"16,940",2024,—,—,"11,007",2022
Madagascar,"16,465",2024,"16,032",2023,"14,954",2022
Mauritius,"16,359",2024,"14,397",2023,"12,898",2022
North Macedonia,"15,873",2024,"14,761",2023,"13,711",2022
Brunei,"15,510",2024,"15,128",2023,"16,681",2022
Congo,"15,501",2024,"15,321",2023,"15,344",2022
Laos,"15,190",2024,"15,843",2023,"15,362",2022
North Korea,—,—,—,—,"15,176",2022
Afghanistan,"14,467",2022,"14,502",2022,"14,174",2022
Bahamas,"14,390",2024,"14,339",2023,"12,897",2022
Rwanda,"13,701",2024,"14,098",2023,"13,312",2022
Kyrgyzstan,"13,599",2024,"13,988",2023,"10,930",2022
Tajikistan,"12,953",2024,"12,061",2023,"10,492",2022
Somalia,"12,804",2024,"11,680",2023,"10,420",2022
Namibia,"12,765",2024,"12,351",2023,"12,607",2022
Kosovo,"11,318",2024,"10,438",2023,"9,397",2022
Malawi,"11,241",2024,"14,084",2023,"12,558",2022
Equatorial Guinea,"10,708",2024,"12,117",2023,"11,767",2022
Mauritania,"10,628",2024,"10,453",2023,"10,997",2022
Togo,"9,832",2024,"9,171",2023,"8,087",2022
New Caledonia,—,—,"9,623",2022,"9,623",2022
Syria,—,—,"8,980",2021,"18,595",2022
Monaco,—,—,"8,784",2022,"8,772",2022
Montenegro,"8,010",2024,"7,405",2023,"6,229",2022
Liechtenstein,—,—,"7,365",2022,"7,757",2022
Bermuda,—,—,"7,828",2022,"7,546",2022
Maldives,"7,199",2024,"6,600",2023,"6,170",2022
Barbados,"6,863",2024,"6,394",2023,"5,699",2022
Cayman Islands,—,—,"6,601",2022,"6,281",2022
South Sudan,"6,517",2024,—,—,"4,616",2022
French Polynesia,—,—,"5,815",2022,"5,814",2022
Fiji,"5,801",2024,"5,495",2023,"4,979",2022
Eswatini,"5,085",2024,"4,598",2023,"4,326",2022
Liberia,"4,754",2024,"4,332",2023,"3,265",2022
Sierra Leone,"4,558",2024,"3,810",2023,"3,481",2022
Djibouti,"4,364",2024,"4,099",2023,"4,003",2022
Suriname,"4,337",2024,"3,782",2023,"3,620",2022
Aruba,"4,069",2024,"3,545",2022,"3,544",2022
Andorra,"3,897",2024,"3,728",2023,"3,376",2022
Belize,"3,296",2024,"3,282",2023,"2,830",2022
Greenland,—,—,"3,236",2021,"2,926",2022
Bhutan,"3,110",2024,"2,898",2022,"2,898",2022
Curaçao,—,—,"3,074",2022,"3,075",2022
Burundi,"3,075",2024,"2,642",2023,"4,032",2022
Central African Republic,"2,810",2024,"2,555",2023,"2,395",2022
Cape Verde,"2,718",2024,"2,587",2023,"2,314",2022
Gambia,"2,694",2024,"2,340",2023,"2,231",2022
Saint Lucia,"2,582",2024,"2,520",2023,"2,165",2022
Lesotho,"2,395",2024,"2,046",2023,"2,287",2022
Eritrea,—,—,—,—,"2,383",2022
Zanzibar,—,—,—,—,"2,361",2022
Seychelles,"2,203",2024,"2,141",2023,"1,994",2022
Guinea-Bissau,"2,151",2024,"1,966",2023,"1,574",2022
Antigua and Barbuda,"2,127",2024,"2,033",2023,"1,770",2022
San Marino,"2,033",2024,"1,855",2021,"1,780",2022
East Timor,"1,992",2024,"2,243",2023,"3,204",2022
Solomon Islands,"1,707",2024,"1,631",2023,"1,597",2022
Sint Maarten,—,—,"1,623",2023,"1,572",2022
Comoros,"1,422",2024,"1,352",2023,"1,246",2022
Grenada,"1,406",2024,"1,320",2023,"1,192",2022
Vanuatu,"1,289",2024,"1,126",2023,985,2022
Turks and Caicos Islands,—,—,"1,402",2023,"1,138",2022
Saint Kitts and Nevis,"1,134",2024,"1,077",2023,979,2022
Saint Vincent and the Grenadines,"1,128",2024,"1,066",2023,946,2022
Samoa,"1,024",2024,934,2023,857,2022
São Tomé and Príncipe,751,2024,603,2023,546,2022
Dominica,708,2024,654,2023,612,2022
Tonga,581,2024,500,2022,488,2022
Micronesia,484,2024,460,2023,427,2022
Kiribati,311,2024,279,2023,223,2022
Palau,308,2024,263,2023,225,2022
Marshall Islands,305,2024,284,2023,279,2022
Nauru,161,2024,154,2023,147,2022
Tuvalu,66,2024,62,2023,59,2022
